link,color,id_product
34812_lired_a0.jpg,red,74
34817_liblk_a0.jpg,black,75
34817_linud_a0.jpg,beige,75
34817_lired_a0.jpg,red,75
35092_licpv_a0.jpg,brown,76
35092_lidrx_a0.jpg,brown,76
35092_lidry_a0.jpg,brown,76
35750_wrcrm_a0.jpg,white,77
35750_wre1b_a0.jpg,yellow,77
35750_wre60_a0.jpg,brown,77
35751_wre0o_a0.jpg,pink,78
35753_wre5z_a0.jpg,brown,79
35753_wrprw_a0.jpg,blue,79
35754_wrcrm_a0.jpg,white,80
35764_wrcrm_a0.jpg,white,80
35767_wre1b_a0.jpg,yellow,81
35767_wrprw_a0.jpg,blue,81
35768_wre0o_a0.jpg,pink,82
35771_wrpin_a0.jpg,pink,83
35792_m1.jpg, ,84
35792_m2.jpg, ,84
35792_wrcrm_a0.jpg,white,84
35796_wre0o_a0.jpg,pink,85
35796_wrprw_a0.jpg,blue,85
35798_wrcrm_a0.jpg,white,86
35798_wre0o_a0.jpg,pink,86
35798_wre0q_a0.jpg,yellow,86
35798_wre5h_a0.jpg,green,86
35798_wrmnt_a0.jpg,green,86
35798_wrpch_a0.jpg,pink,86
35798_wrprw_a0.jpg,blue,86
35798_wrtng_a0.jpg,red,86
35799_wre6a_a0.jpg,blue,87
35799_wre6b_a0.jpg,brown,87
35799_wre6c_a0.jpg,green,87
35800_wrnat_a0.jpg,beige,88
35827_wrcrm_a0.jpg,white,89
35851_wrprw_a0.jpg,blue,90
35853_wrsad_a0.jpg,brown,91
52348_liapr_a0.jpg,beige,92
52348_liblk_a0.jpg,black,92
52348_liden_a0.jpg,blue,92
52348_linav_a0.jpg,blue,92
52348_linud_a0.jpg,beige,92
52348_lipwe_a0.jpg,yellow,92
52377_liblk_a0.jpg,black,98
52377_svsd_a0.jpg,brown,98
52385_liapr_a0.jpg,beige,99
52385_liblk_a0.jpg,black,99
52576_lic7c_a0.jpg,brown,100
52576_svdk6_a0.jpg,black,100
52778_liapr_a0.jpg,pink,101
52834_svdrl_a0.jpg,white,102
52834_svdst_a0.jpg,black,102
52883_svdtc_a0.jpg,blue,103
52895_liblk_a0.jpg,black,104
52895_lired_a0.jpg,red,104
52896_liblk_a0.jpg,black,105
52896_liden_a0.jpg,blue,105
52896_linud_a0.jpg,beige,105
52896_lipbu_a0.jpg,blue,105
52896_lired_a0.jpg,red,105
52896_svpk_a0.jpg,pink,105
52901_liapr_a0.jpg,pink,106
52901_liblk_a0.jpg,black,106
52901_lichk_a0.jpg,white,106
52901_liden_a0.jpg,blue,106
52901_linud_a0.jpg,beige,106
52901_lired_a0.jpg,red,106
52901_svpk_a0.jpg,pink,106
52906_lichk_a0.jpg,white,107
52906_linud_a0.jpg,beige,107
